Numero pendiente,latitude,longitude,fecha,anomalia,fecha_redondeada,pos_promedio_lat,pos_promedio_lon,distancia_a_promedio
1,42.22242999946855,-7.750067730596321,2024-02-28 15:52:03.996158,False,2024-02-28 15:52:00,42.222375639613375,-7.7491548031069595,0.07541717850497981
1,42.22215072476572,-7.750448957792519,2024-02-28 15:57:03.996158,False,2024-02-28 15:57:00,42.22241402024626,-7.749217235649594,0.10556671111711588
1,42.22278539802538,-7.749341380284328,2024-02-28 16:02:03.996158,False,2024-02-28 16:02:00,42.22240694983017,-7.749471466747977,0.043423478366483956
1,42.222504546702105,-7.749939421278022,2024-02-28 16:07:03.996158,False,2024-02-28 16:07:00,42.22228105631999,-7.749649988911738,0.03443242540719847
1,42.22282235888063,-7.7485904367349825,2024-02-28 16:12:03.996158,False,2024-02-28 16:12:00,42.222320243661784,-7.749390233245347,0.08634031967573716
1,42.22264672946129,-7.748696623847534,2024-02-28 16:17:03.996158,False,2024-02-28 16:17:00,42.22233774542091,-7.7492708580063185,0.05844914215055057
1,42.22246399896972,-7.7489299459517955,2024-02-28 16:22:03.996158,False,2024-02-28 16:22:00,42.22218697955774,-7.749121342533115,0.034600965767573245
1,42.222595115235166,-7.74930005564157,2024-02-28 16:27:03.996158,False,2024-02-28 16:27:00,42.22253442580515,-7.74930720416552,0.006773980780260898
1,42.22254611206287,-7.749678557543676,2024-02-28 16:32:03.996158,False,2024-02-28 16:32:00,42.2223987194516,-7.749157322916495,0.0459434543440894
1,42.22228739662037,-7.749241452973353,2024-02-28 16:37:03.996158,False,2024-02-28 16:37:00,42.22189925724117,-7.749180815253181,0.04344700915245951
1,42.22260394826546,-7.749570110641859,2024-02-28 16:42:03.996158,False,2024-02-28 16:42:00,42.22210912870801,-7.74930047644359,0.05933233817387158
1,42.22260476461864,-7.750073293294554,2024-02-28 16:47:03.996158,False,2024-02-28 16:47:00,42.22244713627215,-7.74942370273178,0.056288576310867276
1,42.22165359370019,-7.749167268425232,2024-02-28 16:52:03.996158,False,2024-02-28 16:52:00,42.222148182850894,-7.7495825199357995,0.0647592830981547
1,42.22195206810548,-7.749045597558459,2024-02-28 16:57:03.996158,False,2024-02-28 16:57:00,42.22214223728463,-7.749352365766573,0.032943220645582506
1,42.22214179518315,-7.749177218553895,2024-02-28 17:02:03.996158,False,2024-02-28 17:02:00,42.22205500773605,-7.749249928146851,0.011356763654278672
1,42.221777726871714,-7.749502071631234,2024-02-28 17:07:03.996158,False,2024-02-28 17:07:00,42.22215948015764,-7.749565811631658,0.042772287955925616
1,42.222477159599165,-7.750263740435824,2024-02-28 17:12:03.996158,False,2024-02-28 17:12:00,42.22231461635803,-7.7493032061683635,0.08113349677827718
1,42.222356879426165,-7.750526340369925,2024-02-28 17:17:03.996158,False,2024-02-28 17:17:00,42.22213897228292,-7.749399339874582,0.09591355035709562
1,42.22224063034789,-7.750500515407532,2024-02-28 17:22:03.996158,False,2024-02-28 17:22:00,42.22220125761619,-7.74931886036285,0.0974015191016942
1,42.22195366313606,-7.748930169019386,2024-02-28 17:27:03.996158,False,2024-02-28 17:27:00,42.2222529271757,-7.749179372995229,0.039095179360395506
1,42.22278624898812,-7.748756532677888,2024-02-28 17:32:03.996158,False,2024-02-28 17:32:00,42.22216743557189,-7.749138429603487,0.07565437836262319
1,42.222377063133,-7.748520062948513,2024-02-28 17:37:03.996158,False,2024-02-28 17:37:00,42.22231150747261,-7.749050942517418,0.04431864319412618
1,42.22220776424127,-7.749601847041607,2024-02-28 17:42:03.996158,False,2024-02-28 17:42:00,42.22180748085675,-7.750075839418072,0.059198867492438086
1,42.22241933794687,-7.749678410870159,2024-02-28 17:47:03.996158,False,2024-02-28 17:47:00,42.22226468131069,-7.7494010380043665,0.02859039204020847
