Numero pendiente,latitude,longitude,fecha,anomalia,distancia_en_Km,velocidad_en_m/s,fuera_del_recinto
1,42.222308069314096,-7.749821683345044,2024-02-27 17:02:46.439314,True,0.0,0.0,True
1,42.22194051531893,-7.748871382991839,2024-02-27 17:07:46.439314,True,0.088282496836298,0.2942749894543267,True
1,42.22268901232241,-7.748472130477307,2024-02-27 17:12:46.439314,True,0.0894870313451415,0.29829010448380494,True
1,42.22271400264021,-7.7490418255207425,2024-02-27 17:17:46.439314,True,0.04699326211711645,0.15664420705705484,True
1,42.2221722869038,-7.750628281419579,2024-02-27 17:22:46.439314,True,0.1438544493979745,0.47951483132658174,True
1,42.22226245758192,-7.749111275111264,2024-02-27 17:27:46.439314,True,0.1253192395462469,0.4177307984874897,True
1,42.22215603846601,-7.749455841402423,2024-02-27 17:32:46.439314,True,0.030741928417627646,0.1024730947254255,True
1,42.22220213127211,-7.750281493097808,2024-02-27 17:37:46.439314,True,0.06818102957281946,0.2272700985760649,True
1,42.22219414858443,-7.749982678766653,2024-02-27 17:42:46.439314,True,0.024621802103286735,0.08207267367762246,True
1,42.22222254870067,-7.748817826707749,2024-02-27 17:47:46.439314,False,0.09597142813288666,0.3199047604429555,True
1,42.22217832479677,-7.749132953188047,2024-02-27 17:52:46.439314,True,0.02641084981406605,0.08803616604688684,True
1,42.22978015941214,-7.750451819949614,2024-02-27 17:57:46.439314,True,0.8522326048330671,2.840775349443557,False
1,42.22635825295267,-7.748292541269773,2024-02-27 18:02:46.439314,True,0.4199857850642417,1.3999526168808059,False
1,42.21938965486348,-7.755519095757557,2024-02-27 18:07:46.439314,True,0.9769991123838495,3.256663707946165,False
1,42.22531932955546,-7.753626664306835,2024-02-27 18:12:46.439314,True,0.6775142224961432,2.2583807416538106,False
1,42.22189162929556,-7.754109493450514,2024-02-27 18:17:46.439314,True,0.38321085368972446,1.2773695122990816,False
1,42.2216178785086,-7.7581777020248275,2024-02-27 18:22:46.439314,True,0.33637815950999794,1.121260531699993,False
1,42.22751794381445,-7.745412743145307,2024-02-27 18:27:46.439314,True,1.2390308619656905,4.130102873218968,False
1,42.22050101472835,-7.7510177974123184,2024-02-27 18:32:46.439314,True,0.9065310599509931,3.0217701998366437,False
1,42.21724640394653,-7.746501249740421,2024-02-27 18:37:46.439314,True,0.5189446097215853,1.7298153657386175,False
1,42.22259215293707,-7.749670784610359,2024-02-27 18:42:46.439314,True,0.6491983063945396,2.1639943546484655,True
1,42.21807181059469,-7.748790624939647,2024-02-27 18:47:46.439314,True,0.5078378286380305,1.6927927621267682,False
1,42.22243842334,-7.751148663016763,2024-02-27 18:52:46.439314,True,0.5229333135336127,1.7431110451120424,False
1,42.22122404226791,-7.742974218889304,2024-02-27 18:57:46.439314,True,0.686537226640367,2.2884574221345564,False
1,42.22612721572303,-7.743918052489733,2024-02-27 19:02:46.439314,True,0.5507193980397214,1.8357313267990711,False
1,42.2281112399814,-7.754211476293626,2024-02-27 19:07:46.439314,True,0.8757855500648031,2.919285166882677,False
1,42.226443226662695,-7.747889359834437,2024-02-27 19:12:46.439314,True,0.5526070289793663,1.842023429931221,False
1,42.22013803623932,-7.748057838583984,2024-02-27 19:17:46.439314,True,0.7012424300409379,2.337474766803126,False
1,42.22453307794832,-7.745769866482213,2024-02-27 19:22:46.439314,True,0.523764495910848,1.7458816530361598,False
1,42.21708536460421,-7.756657101171753,2024-02-27 19:27:46.439314,True,1.2204871342198602,4.0682904473995345,False
1,42.21825687810454,-7.74875418438415,2024-02-27 19:32:46.439314,True,0.6637195532050774,2.2123985106835913,False
1,42.21235481016792,-7.745727433188817,2024-02-27 19:37:46.439314,True,0.7020229056875225,2.3400763522917414,False
1,42.22403015280908,-7.74750283390037,2024-02-27 19:42:46.439314,True,1.306445497496962,4.354818324989873,False
1,42.218860695520185,-7.743187979700503,2024-02-27 19:47:46.439314,True,0.6757663799620184,2.2525545998733945,False
1,42.2216746737622,-7.758508692149661,2024-02-27 19:52:46.439314,True,1.299841992865936,4.332806642886453,False
1,42.22322325584805,-7.75183178308277,2024-02-27 19:57:46.439314,True,0.576140569785897,1.92046856595299,False
1,42.2225101146276,-7.750338985816217,2024-02-27 20:02:46.439314,True,0.14628097597305356,0.48760325324351184,False
