Numero_pendiente,latitude,longitude,fecha,id_parcela,fuera_del_recinto,distancia_en_Km,velocidad,tipo,pos_promedio_lat,pos_promedio_lon,distancia_a_promedio,vacas_alejadas,velocidad_media_30_anteriors
1705,42.17172444687271,-8.684922358863535,2024-04-05 16:21:25,0,False,0.0,0.0,descansando,42.17172444687271,-8.684922358863535,0.0,False,0.0
1705,42.1717357236064,-8.684875074212803,2024-04-05 16:23:25,2,False,0.0040935313322886645,0.03411276110240554,pastando,42.1717357236064,-8.684875074212803,0.0,False,0.03411276110240554
1705,42.17178030303548,-8.684854457107853,2024-04-05 16:25:25,2,False,0.00524010861635595,0.04366757180296625,pastando,42.17178030303548,-8.684854457107853,0.0,False,0.03889016645268589
1705,42.17181399857595,-8.68488052523065,2024-04-05 16:27:25,2,False,0.0043189631511141415,0.03599135959261785,pastando,42.17181399857595,-8.68488052523065,0.0,False,0.037923897499329874
1705,42.171784803317536,-8.68485168702214,2024-04-05 16:29:25,2,False,0.004023303258275596,0.033527527152296635,pastando,42.171784803317536,-8.68485168702214,0.0,False,0.03772881951596025
1705,42.171822160465,-8.68485525773627,2024-04-05 16:31:25,2,False,0.0041643350705070975,0.03470279225422581,pastando,42.171822160465,-8.68485525773627,0.0,False,0.0347405596663801
1705,42.17182351180589,-8.684839838795034,2024-04-05 16:33:25,2,False,0.001279535312154991,0.010662794267958258,descansando,42.17182351180589,-8.684839838795034,0.0,False,0.02629770455816023
1705,42.17184034150949,-8.684820839091968,2024-04-05 16:35:25,2,False,0.002440020739819716,0.020333506165164304,descansando,42.17184034150949,-8.684820839091968,0.0,False,0.021899697562449458
1705,42.17185100879985,-8.684863383221233,2024-04-05 16:37:25,2,False,0.003701288686941833,0.03084407239118194,descansando,42.17185100879985,-8.684863383221233,0.0,False,0.0206134576081015
1705,42.17189851490835,-8.684850096026228,2024-04-05 16:39:25,2,False,0.005394736750481666,0.04495613958734722,pastando,42.17189851490835,-8.684850096026228,0.0,False,0.03204457271456449
1705,42.17135491167165,-8.68479131156855,2024-04-05 16:41:25,2,False,0.060639742394992334,0.5053311866249361,caminando,42.17135491167165,-8.68479131156855,0.0,False,0.1937104662011551
1705,42.17135716583705,-8.684746266845181,2024-04-05 16:43:25,2,False,0.003720635202476573,0.031005293353971442,descansando,42.17135716583705,-8.684746266845181,0.0,False,0.19376420652208493
1705,42.17169204358601,-8.685173655929983,2024-04-05 16:45:25,2,False,0.051255491798664635,0.4271290983222053,caminando,42.17169204358601,-8.685173655929983,0.0,False,0.3211551927670376
1705,42.171581518284285,-8.684644214422391,2024-04-05 16:47:25,2,False,0.0453294596285658,0.377745496904715,caminando,42.171581518284285,-8.684644214422391,0.0,False,0.27862662952696393
1705,42.17202671090048,-8.68495807687359,2024-04-05 16:49:25,2,False,0.05585328544864956,0.465444045405413,caminando,42.17202671090048,-8.68495807687359,0.0,False,0.4234395468774444
1705,42.17197667551128,-8.684948608968917,2024-04-05 16:51:25,2,False,0.005618126392153958,0.04681771993461632,pastando,42.17197667551128,-8.684948608968917,0.0,False,0.29666908741491477
1705,42.17194945946992,-8.68492286696823,2024-04-05 16:53:25,2,False,0.003695776439324958,0.030798136994374652,descansando,42.17194945946992,-8.68492286696823,0.0,False,0.1810199674448013
1705,42.171989007965486,-8.684883084536152,2024-04-05 16:55:25,2,False,0.005485184293200923,0.0457098691100077,pastando,42.171989007965486,-8.684883084536152,0.0,False,0.041108575346332894
1705,42.17197433354934,-8.684896654749934,2024-04-05 16:57:25,2,False,0.0019781713018953875,0.01648476084912823,descansando,42.17197433354934,-8.684896654749934,0.0,False,0.030997588984503527
1705,42.17199006260812,-8.684928756575745,2024-04-05 16:59:25,2,False,0.0031713941637365596,0.026428284697804665,descansando,42.17199006260812,-8.684928756575745,0.0,False,0.029540971552313527
1705,42.17195241308152,-8.684938996891018,2024-04-05 17:01:25,2,False,0.004270647266648666,0.03558872722207221,pastando,42.17195241308152,-8.684938996891018,0.0,False,0.02616725758966837
1705,42.17196412177959,-8.684960941939973,2024-04-05 17:03:25,2,False,0.002228391821530385,0.018569931846086542,descansando,42.17196412177959,-8.684960941939973,0.0,False,0.02686231458865447
1705,42.17202029898881,-8.684423272956119,2024-04-05 17:05:25,2,False,0.044747565714738965,0.37289638095615807,caminando,42.17202029898881,-8.684423272956119,0.0,False,0.1423516800081056
1705,42.17198381561082,-8.684401045622758,2024-04-05 17:07:25,2,False,0.004451145456515695,0.03709287880429746,pastando,42.17198381561082,-8.684401045622758,0.0,False,0.14285306386884736
1705,42.171965467363925,-8.684401582411613,2024-04-05 17:09:25,2,False,0.002040711490025698,0.017005929083547484,descansando,42.171965467363925,-8.684401582411613,0.0,False,0.14233172961466767
1705,42.17201262656989,-8.684392427287712,2024-04-05 17:11:25,2,False,0.005297862590251289,0.04414885491876074,pastando,42.17201262656989,-8.684392427287712,0.0,False,0.03274922093553523
1705,42.17200759298033,-8.684437389860618,2024-04-05 17:13:25,2,False,0.0037474088392474543,0.031228406993728787,descansando,42.17200759298033,-8.684437389860618,0.0,False,0.030794396998679002
